cpu_usage,memory_usage,bandwidth_usage,packet_loss,network_load,active_users,request_rate,instance_count,time_of_day,is_peak_hour,latency,jitter,throughput,qos_status
57.82,70.24,51.26,1.43,66.71,374,1355.04,3,21,1,103.8,25.09,80.97,Warning
47.25,30.86,53.44,0.46,43.68,66,504.68,6,15,0,42.52,13.89,122.84,Good
29.75,23.14,11.14,0.96,43.44,148,162.64,3,14,0,36.12,13.0,108.39,Good
74.81,59.8,83.42,1.98,67.17,527,1257.04,4,11,1,108.32,30.65,79.18,Warning
14.24,32.46,54.08,0.18,10.69,58,275.1,7,22,0,8.66,7.01,135.7,Good
52.0,40.04,34.27,0.68,34.63,266,663.76,6,19,1,42.49,17.68,119.54,Good
83.24,63.51,83.64,2.31,52.83,646,793.13,3,1,0,121.07,27.74,74.67,Warning
39.51,35.42,40.67,0.34,20.43,215,500.38,4,12,0,41.01,8.9,109.36,Good
72.28,75.61,54.47,1.0,68.22,400,1437.68,2,11,1,114.95,25.85,85.75,Warning
82.06,97.56,90.11,4.57,86.4,786,1459.99,1,8,1,171.83,48.73,41.13,Critical
69.79,52.91,53.21,1.7,67.15,302,1312.42,2,6,0,100.36,22.72,80.8,Warning
34.73,37.66,49.95,0.35,14.68,95,497.22,4,11,1,45.29,11.92,111.49,Good
81.76,55.13,67.97,0.97,68.25,614,933.58,5,16,0,86.46,19.97,104.02,Warning
44.97,42.34,29.09,0.91,14.45,192,57.38,6,19,1,45.61,14.71,128.48,Good
63.57,80.4,57.83,2.43,45.49,409,1100.4,4,20,1,104.03,27.11,90.4,Warning
57.26,55.82,57.59,1.09,84.83,303,1125.88,5,22,0,92.93,20.52,90.66,Warning
65.6,70.43,52.72,2.45,84.45,696,1082.49,2,20,1,120.67,33.83,79.16,Warning
50.99,52.9,52.74,0.73,34.54,29,656.27,4,12,0,55.22,10.74,109.66,Good
87.53,93.74,87.86,4.57,91.38,697,1422.09,3,0,0,166.48,44.64,56.33,Critical
82.39,70.48,75.41,2.01,60.11,334,1005.49,3,0,0,107.95,26.35,84.63,Warning
65.74,53.97,73.51,1.54,75.89,628,877.0,2,21,1,106.03,29.4,85.65,Warning
67.62,77.46,72.38,2.11,81.13,441,613.09,3,17,0,99.35,31.29,82.42,Warning
33.13,51.35,27.84,0.62,44.49,152,567.71,4,23,0,45.77,13.05,119.22,Good
12.06,44.83,25.63,0.21,33.19,130,133.77,5,21,1,25.47,12.59,123.67,Good
90.3,99.33,92.04,3.06,96.44,691,1608.57,2,20,1,170.16,43.67,63.78,Critical
81.83,54.51,61.55,1.14,48.69,296,1165.11,4,23,0,84.69,17.93,101.78,Warning
19.42,34.82,31.8,0.62,24.76,235,518.34,4,13,0,37.61,12.05,122.61,Good
55.91,80.35,62.4,1.29,49.19,368,939.56,3,6,0,80.83,18.16,90.94,Warning
91.87,91.98,95.78,3.75,81.74,710,1842.09,3,7,0,152.56,42.29,64.11,Critical
65.12,81.49,71.26,0.99,64.93,478,1440.32,2,21,1,107.49,21.35,91.32,Warning
46.26,22.23,47.9,0.05,10.73,248,688.55,4,19,1,44.13,8.97,126.0,Good
40.09,57.18,35.05,0.57,21.2,152,171.58,6,18,1,44.4,11.03,134.9,Good
81.75,87.65,98.64,3.3,91.88,989,1601.96,2,4,0,155.42,41.4,48.32,Critical
40.67,50.41,36.8,0.47,26.47,113,119.35,7,11,1,39.68,12.53,131.78,Good
56.44,77.35,78.98,2.0,76.98,540,747.84,2,18,1,116.51,31.76,83.25,Warning
81.32,63.74,78.58,1.38,60.08,428,1161.69,2,22,0,116.22,19.51,74.69,Warning
57.0,58.02,69.0,1.36,58.31,428,901.42,5,19,1,79.35,25.64,103.26,Warning
81.82,77.6,55.31,1.12,54.94,688,728.82,5,21,1,94.15,26.38,98.99,Warning
66.36,66.0,71.14,1.5,66.59,406,806.33,5,12,0,89.05,25.16,99.46,Warning
71.28,58.81,62.1,0.86,81.34,287,804.62,4,14,0,90.64,17.9,91.94,Warning
72.79,53.58,82.16,2.08,45.92,376,737.29,5,8,1,94.77,30.8,86.79,Warning
98.51,86.27,82.26,4.96,96.78,781,1902.49,1,21,1,198.68,50.4,31.56,Critical
46.13,20.19,25.01,0.4,31.5,94,649.92,4,1,0,37.34,9.38,126.06,Good
51.07,29.93,35.99,0.17,11.36,180,285.56,5,21,1,34.64,8.3,130.64,Good
71.72,80.12,68.73,0.87,56.98,473,660.37,4,18,1,94.18,22.5,95.32,Warning
18.58,21.46,31.24,0.56,12.63,97,514.14,4,1,0,17.45,13.72,133.57,Good
25.05,23.02,43.9,0.27,45.9,181,315.68,6,17,0,29.08,11.41,127.57,Good
62.62,56.86,67.69,1.69,58.57,478,760.69,2,14,0,99.86,24.58,83.61,Warning
99.25,98.61,82.82,3.52,86.48,606,1779.94,1,22,0,160.88,38.06,55.43,Critical
82.32,71.87,61.76,2.15,59.52,368,841.26,2,4,0,114.63,20.6,71.08,Warning
95.27,78.5,97.37,3.72,97.89,727,1509.26,2,18,1,164.56,47.71,46.74,Critical
67.08,57.63,72.58,1.34,50.29,278,754.51,4,4,0,83.46,18.44,96.42,Warning
79.89,57.22,50.38,0.77,81.0,383,1258.97,3,11,1,93.43,22.57,105.07,Warning
80.14,64.15,76.98,1.34,59.15,559,1264.23,4,20,1,99.85,26.82,81.91,Warning
76.57,60.4,69.82,1.45,71.55,495,721.5,5,0,0,87.05,24.51,84.03,Warning
47.87,53.86,52.99,0.15,34.93,92,98.84,3,0,0,60.38,10.39,102.65,Good
95.99,92.37,85.44,3.98,87.22,643,1884.46,1,16,0,162.86,39.96,49.93,Critical
34.39,54.92,42.95,0.81,36.35,217,687.37,4,11,1,62.54,16.9,112.2,Good
80.68,92.44,85.95,4.81,99.42,814,1877.21,3,19,1,166.92,48.37,48.35,Critical
80.74,89.91,84.6,2.8,81.54,892,1718.16,2,22,0,149.75,30.43,61.84,Critical
77.14,68.21,64.94,2.25,61.7,476,1383.09,3,22,0,116.68,25.42,74.72,Warning
81.4,75.24,81.05,2.72,80.75,835,1776.5,3,9,1,140.47,34.96,75.37,Warning
31.03,31.88,48.38,0.72,33.56,212,641.72,3,14,0,50.65,16.21,104.11,Good
52.75,51.45,14.02,0.42,45.16,30,637.42,4,6,0,48.22,10.7,122.2,Good
17.94,28.82,18.39,0.78,24.01,280,459.36,3,8,1,54.39,12.34,111.75,Good
93.92,78.85,96.32,3.06,84.48,688,1755.76,2,4,0,146.54,35.44,57.44,Critical
71.53,53.04,64.3,1.25,55.39,638,643.91,3,5,0,89.99,22.75,92.51,Warning
74.86,69.03,80.26,1.97,65.85,585,1192.61,2,15,0,119.0,27.93,80.04,Warning
77.58,55.55,80.83,2.24,46.17,272,604.63,5,10,1,104.16,28.5,86.59,Warning
35.03,50.27,21.64,0.19,13.36,174,687.77,3,7,0,40.67,3.12,132.16,Good
44.25,41.65,53.33,0.34,35.3,241,539.9,6,19,1,50.96,14.04,120.07,Good
41.87,22.69,36.2,0.35,34.84,229,616.5,7,11,1,34.58,14.25,136.24,Good
68.38,59.58,84.9,1.35,63.06,288,1074.32,2,10,1,108.66,28.23,86.21,Warning
52.79,26.04,29.46,0.94,26.79,103,308.44,3,4,0,47.79,12.08,112.73,Good
11.4,46.07,26.58,0.86,28.93,91,153.51,3,16,0,37.07,14.45,103.66,Good
45.86,31.77,51.03,0.97,17.42,34,362.99,3,11,1,59.13,11.95,106.02,Good
64.78,70.66,65.16,2.47,50.98,526,665.2,5,17,0,89.34,31.2,88.03,Warning
41.27,54.4,45.09,0.04,29.22,107,144.85,6,13,0,31.97,6.32,134.29,Good
55.29,61.43,68.12,0.68,59.03,666,1342.06,3,21,1,98.92,23.17,88.67,Warning
80.82,91.76,99.03,2.81,97.92,608,1961.73,3,8,1,158.15,40.34,60.48,Critical
46.67,23.2,50.27,0.55,42.69,22,76.49,6,9,1,47.83,19.32,115.02,Good
74.51,66.77,71.55,1.16,63.81,422,763.91,4,20,1,98.25,28.72,100.09,Warning
54.84,58.99,39.26,0.2,37.21,112,321.96,3,6,0,55.84,12.12,113.09,Good
77.28,64.89,62.11,1.24,84.51,401,1088.97,4,8,1,114.47,25.6,92.53,Warning
88.43,81.92,91.85,4.78,84.21,836,1679.49,1,14,0,168.97,46.36,35.87,Critical
73.06,72.14,63.05,1.53,61.52,671,1043.05,3,21,1,107.74,28.19,76.16,Warning
59.91,63.69,83.93,1.02,71.27,698,1296.13,5,3,0,92.76,23.35,93.9,Warning
13.31,26.79,33.39,0.34,43.16,276,342.13,5,11,1,31.98,15.4,126.06,Good
80.33,78.2,70.49,2.24,53.23,694,630.77,3,1,0,113.81,25.65,79.16,Warning
38.8,28.99,18.1,0.09,14.13,198,77.02,4,19,1,36.21,8.87,134.67,Good
75.01,54.89,51.05,1.12,73.19,483,1259.61,5,17,0,71.53,22.09,97.16,Warning
20.56,58.53,21.49,0.66,49.15,133,208.7,4,7,0,42.5,13.34,118.06,Good
92.01,98.52,96.54,4.17,91.54,819,1495.57,2,8,1,172.04,45.33,44.77,Critical
14.91,46.02,44.43,0.93,27.53,101,620.63,5,12,0,36.27,13.04,116.69,Good
26.49,35.85,41.3,0.39,27.95,243,292.61,6,5,0,27.88,10.67,122.52,Good
73.58,66.22,63.29,2.23,65.76,661,623.08,3,11,1,112.86,27.71,80.14,Warning
71.48,76.14,75.04,1.54,77.9,356,606.81,4,20,1,98.04,27.63,87.06,Warning
81.21,98.36,87.03,2.75,89.72,972,1570.92,3,14,0,154.87,37.37,62.71,Critical
84.3,78.81,68.29,0.75,79.38,288,1072.65,4,23,0,94.68,19.45,95.11,Warning
88.49,77.18,96.31,3.43,90.53,646,1970.84,3,21,1,158.45,41.76,50.25,Critical
67.33,79.4,81.5,1.21,54.47,542,871.85,5,18,1,93.31,25.59,98.55,Warning
95.33,78.74,88.48,2.88,84.7,707,1917.68,3,20,1,158.01,41.02,53.12,Critical
72.83,67.39,84.57,0.77,72.81,572,998.45,2,6,0,104.73,24.17,79.72,Warning
65.12,81.69,77.04,1.03,70.81,413,772.68,5,0,0,85.0,19.6,94.34,Warning
46.02,29.35,34.3,0.88,36.04,77,266.45,4,22,0,41.21,9.7,108.46,Good
88.93,83.34,91.61,2.72,99.23,886,1852.9,3,15,0,139.59,32.86,48.77,Warning
53.84,20.8,43.17,0.77,19.75,168,110.4,4,7,0,39.47,10.12,118.95,Good
95.64,92.72,80.72,3.26,85.26,665,1628.55,2,8,1,164.58,39.05,57.18,Critical
83.24,94.66,91.49,3.92,87.82,611,1958.36,2,5,0,157.74,39.4,55.05,Critical
97.36,95.15,95.8,3.26,81.62,762,1504.11,2,2,0,153.95,37.03,59.85,Critical
48.79,56.91,31.92,0.61,40.59,44,483.1,4,7,0,53.36,13.49,98.31,Good
13.6,51.07,15.49,0.59,47.46,39,335.68,6,5,0,17.82,13.54,134.06,Good
19.53,39.38,43.94,0.62,21.89,102,160.93,7,8,1,18.69,12.13,133.33,Good
41.12,44.72,38.49,0.23,19.31,240,455.53,6,5,0,25.87,7.84,129.17,Good
26.55,36.57,47.24,0.73,40.77,202,320.5,5,20,1,53.51,15.85,115.44,Good
61.46,50.42,58.44,2.45,77.06,422,638.37,2,2,0,107.25,25.83,67.23,Warning
15.72,54.59,20.96,0.65,42.43,240,306.41,4,20,1,45.73,15.33,114.57,Good
96.18,76.91,85.59,4.83,85.06,831,1676.89,3,22,0,165.65,45.27,53.44,Critical
33.33,26.01,43.18,0.51,37.21,219,105.11,5,0,0,42.79,10.53,124.54,Good
25.74,50.99,39.76,0.19,16.96,280,407.25,4,5,0,34.29,6.29,124.13,Good
53.92,46.69,10.47,0.26,20.43,124,468.54,4,22,0,37.73,4.65,133.62,Good
92.04,89.56,94.96,4.53,93.13,610,1426.24,1,7,0,164.46,44.65,43.49,Critical
59.91,59.58,82.49,1.85,64.84,362,1181.23,4,22,0,85.9,25.03,87.88,Warning
74.08,57.74,84.24,2.0,67.31,400,1190.55,4,21,1,108.08,31.82,89.18,Warning
40.84,23.67,53.43,0.49,16.03,63,526.32,5,4,0,36.42,10.31,133.66,Good
35.43,47.56,49.3,0.64,40.44,130,154.55,4,15,0,50.25,14.91,109.33,Good
49.59,46.3,23.99,0.74,42.6,238,172.22,3,15,0,55.63,13.01,119.88,Good
44.24,21.41,43.56,0.2,48.32,39,262.51,5,22,0,38.83,4.71,116.93,Good
78.41,57.6,54.82,1.83,45.08,608,602.9,3,13,0,86.65,24.08,90.23,Warning
36.47,39.24,38.9,0.06,33.2,74,506.91,4,17,0,36.21,8.77,126.29,Good
41.29,49.84,54.19,0.21,43.01,38,336.13,6,22,0,32.93,9.9,124.34,Good
56.88,78.05,76.83,1.97,56.98,410,979.12,5,19,1,97.67,28.57,94.64,Warning
72.16,70.57,56.46,1.22,58.38,356,621.77,3,21,1,94.26,22.99,84.49,Warning
52.33,30.37,29.33,0.87,43.68,68,332.87,7,3,0,36.76,16.7,132.72,Good
83.18,90.26,82.71,4.38,93.14,635,1408.04,2,21,1,162.9,43.83,42.36,Critical
84.99,81.8,95.19,3.62,95.53,643,1493.83,3,19,1,162.45,47.2,44.66,Critical
81.73,80.92,94.65,3.87,82.56,798,1636.07,2,11,1,155.52,44.31,56.34,Critical
84.39,55.07,75.38,0.88,58.53,620,1474.8,5,11,1,95.73,22.7,94.65,Warning
48.28,42.45,33.55,0.11,44.41,62,93.98,3,16,0,42.91,7.1,118.54,Good
88.57,78.52,93.28,3.04,81.95,743,1647.06,1,6,0,146.07,35.87,61.47,Critical
56.56,77.52,57.05,1.02,51.59,632,1282.58,5,21,1,88.08,19.79,105.03,Warning
52.6,42.41,43.78,0.56,32.1,267,351.56,6,0,0,48.85,11.02,116.85,Good
57.8,65.44,56.85,0.87,48.76,546,1119.83,2,7,0,74.66,16.51,103.37,Good
90.66,78.95,93.92,4.48,86.34,986,1617.86,3,17,0,160.67,41.68,45.46,Critical
76.98,78.71,60.96,2.1,83.71,524,1394.17,5,10,1,116.85,32.02,84.34,Warning
84.52,73.38,72.21,0.83,80.28,472,1190.52,5,4,0,102.9,27.17,95.62,Warning
42.92,27.5,48.62,0.82,31.63,230,543.73,3,10,1,62.63,17.02,110.93,Good
21.44,52.77,49.59,0.53,19.77,175,586.89,3,20,1,56.37,13.15,108.28,Good
68.07,70.2,75.83,2.11,78.75,596,1170.73,5,15,0,107.94,28.23,79.18,Warning
40.68,26.69,39.49,0.99,12.91,147,467.87,6,14,0,27.45,9.75,127.88,Good
95.32,94.71,93.3,3.15,98.14,850,1400.11,3,1,0,153.18,35.14,44.22,Critical
90.93,84.51,99.54,2.78,88.45,880,1652.87,2,5,0,153.49,35.23,58.14,Critical
96.1,75.45,99.26,4.32,86.1,974,1719.61,3,14,0,160.73,40.83,46.15,Critical
13.08,30.53,12.08,0.57,21.35,161,438.93,5,8,1,32.15,9.12,132.02,Good
81.77,56.49,52.76,0.98,76.78,407,986.26,4,13,0,94.39,20.69,101.08,Warning
47.41,43.96,15.17,0.09,46.39,54,589.04,3,7,0,31.77,9.77,118.19,Good
92.04,97.31,88.87,4.02,92.63,875,1873.28,3,3,0,152.44,40.32,53.78,Critical
45.4,58.83,21.82,0.27,28.92,276,224.82,3,17,0,42.86,3.99,119.62,Good
37.49,31.23,19.31,0.52,10.22,209,591.66,6,0,0,12.91,9.15,133.07,Good
70.38,60.27,82.61,1.29,48.48,290,1336.39,2,18,1,107.39,25.75,83.38,Warning
83.3,84.75,94.6,4.71,93.42,708,1764.74,1,12,0,167.08,46.81,39.78,Critical
42.29,53.18,11.83,0.87,20.27,180,346.55,4,4,0,38.71,7.3,123.59,Good
25.96,57.67,40.09,0.68,24.48,285,376.4,5,21,1,47.02,15.3,114.32,Good
70.9,79.02,84.69,2.14,72.8,517,865.54,2,22,0,114.38,28.95,72.36,Warning
42.81,46.09,48.05,0.69,27.2,118,100.45,3,20,1,52.15,15.45,115.7,Good
27.29,38.0,36.07,0.76,13.95,94,428.43,4,21,1,47.48,14.89,113.72,Good
59.28,81.15,62.11,0.81,46.02,693,941.02,4,10,1,86.8,23.16,98.7,Warning
58.04,79.65,68.59,2.18,68.21,570,694.73,2,12,0,107.08,28.14,68.24,Warning
16.62,39.51,15.85,0.84,24.82,143,254.08,6,17,0,13.69,6.77,124.15,Good
34.36,26.17,34.92,0.54,40.48,61,587.43,7,18,1,37.01,11.9,120.37,Good
90.9,79.13,91.66,5.0,83.01,953,1693.34,3,16,0,168.26,44.35,49.6,Critical
45.66,38.46,42.89,0.15,44.1,120,402.97,5,20,1,41.09,16.11,116.76,Good
71.48,52.02,73.83,1.43,46.38,319,733.92,4,15,0,82.94,21.03,92.55,Warning
64.07,67.2,68.29,1.63,62.65,660,1060.15,2,18,1,116.35,27.53,80.78,Warning
95.29,89.34,99.12,3.0,82.19,715,1401.9,1,16,0,154.46,33.9,48.27,Critical
21.52,21.23,53.72,0.22,39.36,133,359.95,7,21,1,36.19,16.73,121.76,Good
79.13,59.76,57.37,2.41,45.35,268,780.59,3,16,0,92.94,23.66,85.75,Warning
57.07,50.2,82.8,2.14,77.37,506,1361.33,3,7,0,115.01,27.75,78.83,Warning
23.78,41.97,38.44,0.58,37.91,64,670.82,5,5,0,31.84,10.78,118.85,Good
78.84,74.75,51.76,0.65,61.11,360,790.0,3,6,0,78.23,15.27,97.58,Good
36.25,53.69,34.7,0.22,11.35,72,320.48,3,21,1,41.49,10.65,117.29,Good
89.08,95.54,91.09,4.09,90.53,777,1828.37,1,23,0,170.16,38.47,39.58,Critical
49.69,52.95,42.48,0.27,26.1,260,382.23,4,17,0,54.59,11.58,112.55,Good
47.77,20.15,21.11,0.74,22.65,158,587.36,5,18,1,47.86,12.96,128.56,Good
88.45,84.43,98.73,4.19,82.32,817,1738.78,3,23,0,157.94,40.48,51.64,Critical
49.4,27.31,22.53,0.13,37.04,113,224.83,6,18,1,35.7,9.29,134.68,Good
58.33,72.2,76.98,0.51,79.36,262,974.85,2,3,0,91.84,19.2,88.74,Warning
69.17,80.81,57.55,1.86,69.31,411,955.26,5,6,0,95.72,23.26,90.56,Warning
57.56,51.51,73.34,2.15,76.28,302,840.83,2,9,1,120.7,30.2,67.93,Warning
67.13,68.58,70.83,0.52,63.56,477,637.49,3,5,0,83.71,21.45,90.57,Warning
48.57,43.01,13.44,0.38,24.71,153,333.08,7,0,0,20.8,5.72,141.18,Good
72.12,69.88,73.21,1.6,80.17,556,621.24,4,7,0,103.42,27.48,72.71,Warning
12.96,29.13,21.1,0.48,39.9,237,428.44,3,22,0,29.56,11.68,119.07,Good
26.46,29.02,18.81,0.14,34.9,286,688.07,6,14,0,26.2,6.19,138.4,Good
56.82,74.15,74.15,2.36,64.89,610,1002.91,3,0,0,101.96,28.43,81.64,Warning
32.53,47.18,13.43,0.27,42.28,229,405.46,7,2,0,24.14,6.74,136.61,Good
53.23,27.88,52.81,0.99,38.47,109,389.65,6,10,1,56.96,19.79,112.9,Good
19.63,20.52,10.64,0.83,39.28,144,663.41,5,10,1,38.59,14.18,120.84,Good
76.55,58.66,72.42,1.83,51.51,337,1287.22,2,21,1,114.52,28.43,82.77,Warning
87.54,88.8,96.1,2.62,96.16,959,1908.83,3,21,1,154.1,39.05,69.44,Critical
23.0,35.91,51.38,0.99,11.8,112,363.01,5,19,1,40.34,14.66,114.64,Good
37.99,59.7,27.38,0.57,26.62,133,636.45,4,12,0,46.67,10.97,122.42,Good
29.41,48.77,35.35,0.43,23.05,128,279.48,4,7,0,31.27,11.96,119.13,Good
97.78,88.61,84.09,3.14,85.91,711,1913.02,2,3,0,155.92,35.13,52.6,Critical
80.95,93.17,95.48,3.38,96.5,889,1925.53,3,20,1,161.45,41.65,44.45,Critical
15.75,50.62,10.0,0.42,30.9,157,180.36,7,19,1,25.98,8.76,139.62,Good
64.09,61.39,74.94,2.13,52.26,631,903.27,4,21,1,106.31,26.07,82.8,Warning
90.85,78.74,87.61,3.54,95.08,631,1500.39,3,8,1,159.52,39.2,42.98,Critical
92.64,78.25,91.2,4.45,94.17,650,1621.57,1,23,0,165.65,43.1,38.43,Critical
46.16,24.88,15.63,0.85,23.78,270,83.73,3,12,0,43.26,7.94,122.88,Good
71.48,60.92,66.89,1.51,60.49,651,614.46,4,19,1,104.34,26.64,88.45,Warning
80.3,53.41,69.56,1.5,73.25,682,1086.66,2,0,0,107.78,21.02,82.61,Warning
93.54,90.63,86.33,4.54,90.03,927,1550.28,3,2,0,161.02,41.51,51.71,Critical
18.41,20.79,27.58,0.19,26.47,116,329.85,6,13,0,7.99,8.88,130.14,Good
40.49,22.88,19.24,0.38,49.28,103,486.46,5,21,1,41.91,14.52,121.79,Good
80.23,86.25,99.54,2.76,90.96,917,1733.3,2,19,1,146.89,37.56,48.51,Critical
31.74,30.74,22.94,0.66,48.74,238,99.13,6,8,1,36.1,16.08,119.52,Good
74.46,59.36,50.53,2.43,55.04,515,1005.62,5,15,0,96.46,30.39,103.55,Warning
52.26,20.27,44.75,0.63,24.94,87,658.57,3,3,0,44.52,12.48,120.4,Good
61.44,73.27,67.43,1.99,58.08,493,1273.55,4,14,0,95.23,21.56,96.95,Warning
62.26,74.99,53.2,0.9,80.1,685,612.37,4,0,0,93.76,20.02,90.79,Warning
12.81,38.36,42.97,0.61,36.91,113,668.47,4,17,0,41.02,13.18,115.08,Good
37.76,49.72,43.21,0.52,12.74,228,648.5,5,6,0,42.18,7.7,116.03,Good
93.33,94.68,89.09,4.08,84.97,787,1900.19,2,10,1,168.44,45.78,46.06,Critical
32.62,22.25,32.1,0.93,14.22,22,316.29,4,0,0,31.95,12.95,121.23,Good
94.94,93.01,96.53,3.62,96.12,728,1585.88,3,23,0,148.81,41.22,51.12,Critical
96.56,80.4,96.19,4.47,92.64,776,1703.38,3,15,0,164.54,46.6,34.72,Critical
60.82,80.06,73.69,2.18,79.35,663,995.29,3,8,1,122.24,30.43,77.58,Warning
15.29,26.61,10.09,0.72,39.3,37,242.91,3,16,0,25.89,13.37,117.58,Good
82.43,90.87,91.64,2.8,84.24,610,1547.21,3,14,0,130.76,33.12,69.09,Warning
67.87,68.93,74.38,1.9,51.87,683,894.8,2,21,1,123.17,27.03,79.21,Warning
93.93,87.39,98.66,3.6,99.61,616,1523.75,1,16,0,168.69,42.11,48.12,Critical
67.24,81.0,57.77,1.93,80.26,559,1251.1,5,23,0,102.75,27.32,90.62,Warning
89.7,83.34,95.83,3.63,83.67,870,1679.79,1,13,0,165.73,38.54,46.81,Critical
49.48,35.58,34.38,0.97,12.66,68,98.17,4,12,0,40.26,9.72,126.0,Good
91.18,83.03,84.4,3.38,87.45,658,1823.98,3,19,1,154.14,39.31,57.36,Critical
96.85,84.33,92.64,2.74,82.07,647,1439.88,1,4,0,151.17,29.56,57.64,Critical
77.76,50.51,57.25,1.93,60.46,341,775.48,5,5,0,88.43,23.93,97.2,Warning
81.67,70.26,72.13,0.81,63.96,518,1241.5,5,7,0,98.31,17.55,98.45,Warning
80.85,80.4,75.35,1.99,67.32,467,1226.54,5,18,1,116.36,31.53,81.51,Warning
62.92,82.87,72.27,1.15,55.78,405,1016.8,3,12,0,97.35,22.51,92.53,Warning
44.96,52.87,30.77,0.98,41.47,223,147.9,3,4,0,54.02,15.01,106.96,Good
64.69,81.43,81.08,1.15,81.04,353,1200.09,3,1,0,104.48,25.51,84.88,Warning
84.02,78.93,81.61,2.37,77.05,310,1372.22,2,2,0,117.67,30.82,70.36,Warning
96.98,85.15,80.27,2.7,86.24,685,1408.63,2,23,0,141.7,36.0,65.92,Warning
47.67,44.78,35.35,0.62,44.58,157,303.89,6,18,1,58.94,14.79,112.03,Good
82.85,82.52,61.97,1.56,53.47,300,998.75,3,3,0,96.81,20.81,95.93,Warning
90.08,98.73,96.66,3.41,97.27,975,1965.02,1,11,1,185.96,43.37,48.28,Critical
17.03,45.44,36.97,0.18,38.21,233,426.82,3,13,0,46.0,11.18,122.0,Good
80.14,78.1,83.63,1.57,64.54,343,1393.45,3,4,0,112.46,26.41,81.54,Warning
36.73,48.11,12.99,0.23,46.63,135,210.09,5,6,0,31.55,10.08,127.03,Good
66.26,78.0,80.96,0.75,53.02,542,1407.63,4,22,0,94.04,19.53,92.4,Warning
29.59,35.84,40.12,0.89,22.24,30,563.12,6,1,0,33.6,10.07,123.06,Good
81.5,85.96,90.6,4.96,83.32,671,1663.84,3,7,0,161.73,42.64,43.29,Critical
64.07,84.14,55.95,2.3,76.07,415,1378.19,4,23,0,111.66,27.27,79.08,Warning
35.35,52.15,16.17,0.58,30.22,257,252.6,6,15,0,30.89,9.39,131.71,Good
76.46,59.87,62.73,0.88,58.88,267,1200.49,5,16,0,80.98,17.46,105.68,Warning
80.2,84.63,81.13,1.24,52.81,331,1023.78,2,11,1,119.29,23.91,86.9,Warning
64.85,65.89,76.69,0.75,52.86,586,1336.07,3,18,1,97.14,22.18,100.97,Warning
88.06,99.26,98.65,4.35,85.59,790,1742.53,1,2,0,167.35,42.22,37.92,Critical
99.4,89.28,82.86,3.44,95.95,986,1936.39,1,4,0,170.03,40.32,43.75,Critical
19.82,54.96,21.24,0.26,10.03,146,440.18,3,19,1,31.26,7.44,128.02,Good
23.23,29.48,52.68,0.94,34.4,130,640.48,7,16,0,25.06,15.94,126.32,Good
77.81,67.95,74.64,2.37,60.03,487,1344.8,2,10,1,125.53,26.23,77.52,Warning
70.04,51.76,51.22,1.6,62.53,431,1496.76,5,2,0,87.81,20.35,101.4,Warning
